                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.96714,                0.77942,                  1.218,                0.76941,                0.61943,                0.69022,                0.36912,                 1.7915,                 1.4062,                 1.9686,              0.0002105,              0.0002105,              0.0002105
                     86,                0.96339,                0.77643,                 1.2087,                0.76684,                0.60669,                0.67028,                0.36236,                 1.7887,                 1.4408,                 1.9736,             0.00019813,             0.00019813,             0.00019813
                     87,                0.94786,                0.76956,                 1.2077,                0.71146,                0.63952,                  0.675,                0.36466,                 1.7954,                  1.405,                 1.9826,             0.00018575,             0.00018575,             0.00018575
                     88,                0.94299,                0.77702,                 1.2017,                0.75664,                0.66031,                0.69169,                0.37467,                 1.7951,                 1.4201,                 1.9843,             0.00017338,             0.00017338,             0.00017338
                     89,                0.93929,                0.76556,                 1.1958,                0.72803,                0.66041,                0.68187,                0.37068,                 1.7524,                 1.4239,                 1.9582,               0.000161,               0.000161,               0.000161
                     90,                0.92751,                0.76872,                 1.1973,                0.72486,                0.64196,                0.69179,                0.37383,                 1.7509,                 1.4633,                 1.9515,             0.00014862,             0.00014862,             0.00014862
                     91,                0.91932,                0.63448,                 1.1994,                0.74328,                0.61903,                0.66712,                0.36143,                 1.8038,                 1.4231,                 1.9898,             0.00013625,             0.00013625,             0.00013625
                     92,                0.85285,                0.59575,                 1.1561,                 0.7229,                0.63877,                0.67417,                0.36354,                 1.7819,                 1.4164,                 1.9729,             0.00012387,             0.00012387,             0.00012387
                     93,                0.84587,                0.55603,                 1.1437,                0.71842,                0.65394,                0.68484,                0.37497,                 1.7591,                 1.3808,                 1.9566,              0.0001115,              0.0001115,              0.0001115
                     94,                0.81089,                0.54109,                  1.126,                0.72907,                0.66492,                0.68736,                0.37185,                 1.7657,                  1.406,                 1.9581,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.82459,                0.54443,                 1.1346,                0.74002,                0.65262,                0.69048,                0.38056,                 1.7738,                 1.3683,                 1.9757,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.79361,                0.51168,                 1.1061,                0.72282,                 0.6563,                0.68958,                0.38246,                 1.7569,                 1.3646,                 1.9656,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.79898,                0.52829,                 1.1166,                0.72329,                 0.6721,                  0.693,                0.38022,                 1.7727,                 1.4071,                 1.9933,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.78808,                0.52469,                 1.1078,                0.70267,                 0.6866,                 0.6925,                0.37608,                 1.7704,                 1.4145,                 1.9857,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.78593,                0.51432,                 1.1125,                0.74443,                0.66374,                0.69302,                0.37768,                 1.7721,                 1.4229,                 1.9825,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.79687,                0.52405,                 1.1205,                0.74378,                0.65806,                0.68757,                0.37779,                  1.777,                  1.433,                 1.9801,             2.4875e-05,             2.4875e-05,             2.4875e-05
